Year,Month,Bulletin,EB2-FA,EB3-FA,EB2-DOF,EB3-DOF,EB2-AOS,EB3-AOS,EB2 DOF Honored?,Difference EB2 AOS,EB3 DOF Honored?,Difference EB3 AOS
2017,October,1-Oct-17,15-Sep-08,15-Oct-06,8-Feb-09,1-Jan-08,22-Aug-08,15-Oct-06,FALSE,170,FALSE,443
2017,September,1-Sep-17,22-Aug-08,15-Oct-06,1-Feb-09,1-Jan-07,22-Jul-08,15-Feb-06,FALSE,194,FALSE,320
2017,August,1-Aug-17,22-Jul-08,15-Jul-06,1-Feb-09,1-Jan-07,22-Jul-08,15-Jul-06,FALSE,194,FALSE,170
2017,July,1-Jul-17,22-Jul-08,15-Feb-06,1-Feb-09,1-Oct-06,1-Jul-08,15-May-05,FALSE,215,FALSE,504
2017,June,1-Jun-17,1-Jul-08,15-May-05,1-Feb-09,22-Apr-06,22-Jul-08,15-Feb-06,FALSE,194,FALSE,66
2017,May,1-May-17,22-Jun-08,25-Mar-05,1-Feb-09,22-Apr-06,22-Jun-08,25-Mar-05,FALSE,224,FALSE,393
2017,April,1-Apr-17,22-Jun-08,23-Jun-08,24-Jun-08,25-Jun-08,22-Jun-08,24-Mar-05,FALSE,2,FALSE,"1,189"
2017,March,1-Mar-17,1-Jun-08,22-Mar-05,22-Apr-09,1-Jul-05,15-Apr-08,22-Mar-05,FALSE,372,FALSE,101
2017,February,1-Feb-17,15-Apr-08,22-Mar-05,22-Apr-09,1-Jul-05,15-Apr-08,22-Mar-05,FALSE,372,FALSE,101
2017,January,1-Jan-17,15-Apr-08,15-Mar-05,22-Apr-09,1-Jul-05,22-Apr-09,1-Jul-05,TRUE,0,TRUE,0
2016,December,1-Dec-16,1-Feb-08,15-Mar-05,22-Apr-09,1-Jul-05,22-Apr-09,1-Jul-05,TRUE,0,TRUE,0
2016,November,1-Nov-16,1-Nov-07,8-Mar-05,22-Apr-09,1-Jul-05,22-Apr-09,1-Jul-05,TRUE,0,TRUE,0
2016,October,1-Oct-16,15-Jan-07,1-Mar-05,22-Apr-09,22-Apr-09,22-Apr-09,1-Jul-05,TRUE,0,FALSE,"1,391"
2016,September,1-Sep-16,22-Feb-05,15-Feb-05,1-Jul-09,1-Jul-05,22-Feb-05,15-Feb-05,FALSE,"1,590",FALSE,136
2016,August,1-Aug-16,15-Nov-04,8-Nov-04,1-Jul-09,1-Jul-05,15-Nov-04,8-Nov-04,FALSE,"1,689",FALSE,235
2016,July,1-Jul-16,1-Nov-04,22-Oct-04,1-Jul-09,1-Jul-05,1-Nov-04,22-Oct-04,FALSE,"1,703",FALSE,252
2016,June,1-Jun-16,1-Oct-04,22-Sep-04,1-Jul-09,1-Jul-05,1-Oct-04,22-Sep-04,FALSE,"1,734",FALSE,282
2016,May,1-May-16,22-Nov-08,1-Sep-04,1-Jul-09,1-Jul-05,22-Nov-08,1-Sep-04,FALSE,221,FALSE,303
2016,April,1-Apr-16,8-Nov-08,8-Aug-04,1-Jul-09,1-Jul-05,8-Nov-08,8-Aug-04,FALSE,235,FALSE,327
2016,March,1-Mar-16,15-Oct-08,15-Jul-04,1-Jul-09,1-Jul-05,15-Oct-08,15-Jul-04,FALSE,259,FALSE,351
2016,February,1-Feb-16,1-Aug-08,15-Jun-04,1-Jul-09,1-Jul-05,1-Aug-08,15-Jun-04,FALSE,334,FALSE,381
